Conversion Rate (%),H+E,H+P = P,E+P,H+E+P,H+P+E+S
0,19130,19130,19130,19130,19130
5,18854,19048,18839,18769,18625
10,18578,18966,18547,18409,18121
15,18302,18885,18256,18048,17617
20,18026,18803,17965,17688,17113
25,17751,18721,17674,17327,16608
30,17475,18639,17383,16967,16104
35,17199,18558,17091,16606,15600
40,16923,18476,16800,16245,15095
45,16647,18394,16509,15885,14591
50,16371,18312,16218,15524,14087
55,16095,18231,15927,15164,13582
60,15820,18149,15635,14803,13078
65,15544,18067,15344,14443,12574
70,15268,17985,15053,14082,12069
75,14992,17904,14762,13722,11565
80,14716,17822,14471,13361,11061
85,14440,17740,14179,13001,10556
90,14164,17658,13888,12640,10052
95,13889,17577,13597,12280,9548
100,13613,17495,13306,11919,9043
